,ci,val_loss,val_acc
0,-0.2,1.407011906305949,0.2916666666666667
1,-0.16,1.3721749782562256,0.20833333333333334
2,-0.12,1.34325114885966,0.4166666666666667
3,-0.08,1.3205607334772747,0.4583333333333333
4,-0.04,1.254355510075887,0.625
5,0.0,1.1391017436981201,1.0
6,0.04,1.1596784591674805,0.7916666666666666
7,0.08,1.1459933916727703,0.7083333333333334
8,0.12,1.2453769048055012,0.75
9,0.16,1.1952862739562988,0.875
10,0.2,1.1793176333109539,0.9166666666666666
11,0.24,1.209485650062561,0.7916666666666666
12,0.28,1.1215562025705974,0.75
13,0.32,1.2151713371276855,0.75
14,0.36,1.1625631252924602,0.7916666666666666
15,0.4,1.1903704802195232,1.0
16,0.44,1.1884939670562744,0.5416666666666666
17,0.48,1.1938114960988362,1.0
