,ci,val_loss,val_acc
0,-0.02,1.3569933109813266,0.3055555555555556
1,0.02,1.3512228926022847,0.3333333333333333
2,0.06,1.344739105966356,0.375
3,0.1,1.3598186837302313,0.3611111111111111
4,0.14,1.3805805643399556,0.3055555555555556
5,0.18,1.3792358967992995,0.2638888888888889
6,0.22,1.3757601843939886,0.3055555555555556
7,0.26,0.16627748020821148,0.9305555555555556
8,0.3,0.0069914663132901,1.0
9,0.34,0.007575426121345825,1.0
10,0.38,0.008228840358141396,1.0
11,0.42,0.009272038005292416,1.0
12,0.46,0.18711743157150018,0.9305555555555556
13,0.5,0.251005141556056,0.9166666666666666
14,0.54,0.3240647717482514,0.8333333333333334
15,0.58,0.26832308609866434,0.875
16,0.62,0.36184168482820195,0.8055555555555556
17,0.66,0.24653251815794242,0.9027777777777778
18,0.7,0.3575208304035995,0.8055555555555556
19,0.74,0.8441694842444526,0.6527777777777778
20,0.78,1.3710716366767883,0.3194444444444444
