,ci,val_loss,val_acc
0,-0.2,1.3396733331680297,0.29583333373069765
1,-0.16,1.360822491645813,0.290833332935969
2,-0.12,1.3484500376383464,0.27708333293596904
3,-0.08,1.2922663243611654,0.3425
4,-0.04,1.2545727729797362,0.3304166662693024
5,0.0,0.5044616349538167,0.8133333333333334
6,0.04,0.7417115624745687,0.6674999992052714
7,0.08,1.2166053136189778,0.39625
8,0.12,1.1574535210927328,0.4629166662693024
9,0.16,1.0738783518473307,0.511666667064031
10,0.2,1.0172511847813923,0.5933333325386048
11,0.24,0.4353587734699249,0.8516666666666667
12,0.28,0.5784568190574646,0.7883333325386047
13,0.32,0.24943672875563302,0.9145833325386047
14,0.36,0.5352518423398336,0.79875
15,0.4,0.6565706737836202,0.7637499992052714
16,0.44,0.6503653033574422,0.7637500007947285
17,0.48,0.4691906754175822,0.8304166666666667
