,ci,val_loss,val_acc
0,-0.02,0.027603183096895616,1.0
1,0.02,0.0884139109402895,1.0
2,0.06,0.15786683124800524,1.0
3,0.1,0.3555450687805812,1.0
4,0.14,0.41478001077969867,1.0
5,0.18,0.26778827607631683,1.0
6,0.22,0.1560282309850057,1.0
7,0.26,0.12447057478129864,1.0
8,0.3,0.17928584292531013,1.0
9,0.34,0.2350618578493595,1.0
10,0.38,0.6987597495317459,0.7083333333333334
11,0.42,0.905821700890859,0.7083333333333334
12,0.46,0.9905842542648315,0.75
13,0.5,1.099841793378194,0.7083333333333334
14,0.54,1.1152939597765605,1.0
15,0.58,1.0676369567712147,0.8333333333333334
16,0.62,1.123116672039032,0.7916666666666666
17,0.66,0.937404215335846,0.875
18,0.7,1.315702845652898,0.2916666666666667
19,0.74,1.3627601464589436,0.2916666666666667
20,0.78,1.3455366889635723,0.5833333333333334
