,ci,val_loss,val_acc
0,-0.04,1.1794210573037465,0.5694444444444444
1,0.0,0.4144589338037703,0.9444444444444444
2,0.04,1.3883295853932698,0.2638888888888889
3,0.08,1.339691744910346,0.2916666666666667
4,0.12,1.383041414949629,0.2777777777777778
5,0.16,1.3680733442306519,0.3333333333333333
6,0.2,0.4308688971731398,1.0
7,0.24,0.2982846324642499,1.0
8,0.28,0.33589252912335926,1.0
9,0.32,0.39172548800706863,1.0
10,0.36,0.3289167152510749,1.0
11,0.4,0.3252677164143986,1.0
12,0.44,0.3796849151452382,1.0
13,0.48,0.45831989414162105,1.0
14,0.52,0.42718686328993904,1.0
15,0.56,0.41702138053046334,1.0
16,0.6,0.41410840882195366,1.0
17,0.64,0.4485273278421826,1.0
18,0.68,0.46725668840938145,1.0
19,0.72,1.3725501497586567,0.3333333333333333
20,0.76,1.376242505179511,0.2777777777777778
